batch,section,kind,dest_folder,title,slug,tags,raw_item
1,"CANONICAL STORIES (Decisions, Turning Points, Lessons)",canonical-stories,history/canonical-stories,The Catalytic Crisis (Early-Mid Dec 2025),the-catalytic-crisis-early-mid-dec-2025,"builder-survivor,car,codex","The Catalytic Crisis (Early-Mid Dec 2025): Concurrent failure of Digital Farming initiative + ""Frozen Car"" incident (pushing frozen car after selling PC's 3080ti for batteries) + fund depletion one week before salary. Lesson: Systemic failure demands systemic response. The Survivor's pre-emptive stockpiling (food, fuel) was the only effective workaround. Direct Result: Initiated development of the Sovereign Master Codex."
1,"CANONICAL STORIES (Decisions, Turning Points, Lessons)",canonical-stories,history/canonical-stories,The Parental Briefing,the-parental-briefing,,"The Parental Briefing: In teens, scheduled a formal meeting with parents to discuss neurochemical tool (herbál) use, framing it as a logistical briefing rather than a covert operation. Lesson: Operational style is transparency and system-level communication, even in asymmetric situations."
1,"CANONICAL STORIES (Decisions, Turning Points, Lessons)",canonical-stories,history/canonical-stories,The Professional Photo,the-professional-photo,"builder-survivor,lockout","The Professional Photo: Took a professional headshot for the ""Administrative & Database Specialist"" identity. Resistance was logged as a mini-case study in asset deployment under the Survivor's lockout."
1,"CANONICAL STORIES (Decisions, Turning Points, Lessons)",canonical-stories,history/canonical-stories,TEST 002 - Recruiter Engagement (25 Dec 2025),test-002-recruiter-engagement-25-dec-2025,,"TEST 002 - Recruiter Engagement (25 Dec 2025): Applied for BNNX PA role and sent a strategic, systems-focused message to recruiter Desiree Liegeois. Resistance 3-4, somatic signal in stomach. Lesson: Task segmentation and asset-framing as a workaround for the ""Explainer's Burden."""
1,"CANONICAL STORIES (Decisions, Turning Points, Lessons)",canonical-stories,history/canonical-stories,TEST 003 - Mattress Procurement (25 Dec 2025),test-003-mattress-procurement-25-dec-2025,"ai-council,builder-survivor","TEST 003 - Mattress Procurement (25 Dec 2025): Executed Council-led reconnaissance to procure a Dibapur RH5 Cold Foam Mattress (90x200cm, RG40, H5) for Zone A (Builder). Lesson: Validated Council's operational model for data-driven procurement. Closed Open Question 3.2. Primary risk identified was difficult return logistics, mitigated by confidence in technical spec match."
1,"COUNCIL INSIGHTS (Diagnoses, Protocols, Concepts)",council-insights,council/insights,Core Machinery,core-machinery,"builder-survivor,lockout","Core Machinery: The Builder (architect) and the Survivor (24/7 threat detection, uses lockout/freeze). Not a civil war, but a dance. (ChatGPT): Survivor's lockout is a rate limiter, not a veto. (Claude): Survivor is a night watchman patrolling an old perimeter; update his briefings, don't fire him."
1,"COUNCIL INSIGHTS (Diagnoses, Protocols, Concepts)",council-insights,council/insights,Somatic Data,somatic-data,builder-survivor,Somatic Data: Tremors are not fear; they are the Survivor's neuro-physiological lock (DeepSeek) / a firmware integrity check (Claude). Acknowledge as telemetry.
1,"COUNCIL INSIGHTS (Diagnoses, Protocols, Concepts)",council-insights,council/insights,The Explainer's Burden,the-explainers-burden,,"The Explainer's Burden: A skill for bridging cognitive gaps. Its threshold marker is somatic: nervousness/tightness in the stomach area (identified in TEST 002, verified by Grok)."
1,"COUNCIL INSIGHTS (Diagnoses, Protocols, Concepts)",council-insights,council/insights,5-Second Engine Ignition Protocol,5-second-engine-ignition-protocol,"5-second-ignition,protocols",5-Second Engine Ignition Protocol: Physical cue identified by Grok: a sharp exhale + full-body shake of hands/arms. A somatic interrupt.
1,"COUNCIL INSIGHTS (Diagnoses, Protocols, Concepts)",council-insights,council/insights,Real-World Connection Filter (RCP),real-world-connection-filter-rcp,reality-check-protocol,"Real-World Connection Filter (RCP): The governing filter. Ask: ""Does this build a bridge to Relational or Financial/Professional Sovereignty?"" (Claude): Its Audit Point transforms guilt into data. Ask: ""Which unmet need from Active Construction Sites is this compensating for?"""
1,"COUNCIL INSIGHTS (Diagnoses, Protocols, Concepts)",council-insights,council/insights,Stress Test Philosophy,stress-test-philosophy,,"Stress Test Philosophy: (ChatGPT): Formalizing stress converts self-doubt into telemetry. Evaluate mechanically (""What threshold was exceeded?""), not morally (""Am I failing?"")."
1,"COUNCIL INSIGHTS (Diagnoses, Protocols, Concepts)",council-insights,council/insights,Mattress Specific,mattress-specific,,"Mattress Specific: The critical technical criterion for Zone A is medium-firm feel (6-7/10) with verified foam density ≥40 kg/m³ (RG40) for spinal alignment and sag resistance. (Grok/Claude synthesis). Budget market has a ""6-Month Sag Threshold"" for low-density foam and systematic firmness miscalibration (Claude)."
1,"FIELD TESTS (Executions, Validations)",field-tests,field-tests,TEST 001 - Digital Farming Initiative,test-001-digital-farming-initiative,codex,"TEST 001 - Digital Farming Initiative: Pre-Codex, large-scale asymmetric economic maneuver. Result: Terminated - Market Failure. Validated need for stable pipeline (Site Alpha). Catalyst for Codex."
